553: 2unique | 2count | 86sum
557: 1unique | 1count | 557sum
558: 3unique | 4count | 39sum
559: 2unique | 2count | 56sum
563: 1unique | 1count | 563sum
564: 3unique | 4count | 54sum
565: 2unique | 2count | 118sum
569: 1unique | 1count | 569sum
570: 4unique | 4count | 29sum
571: 1unique | 1count | 571sum
575: 2unique | 3count | 33sum
576: 2unique | 8count | 18sum
577: 1unique | 1count | 577sum
581: 2unique | 2count | 90sum
582: 3unique | 3count | 102sum
583: 2unique | 2count | 64sum
587: 1unique | 1count | 587sum
588: 3unique | 5count | 21sum
589: 2unique | 2count | 50sum
593: 1unique | 1count | 593sum
594: 3unique | 5count | 22sum
595: 3unique | 3count | 29sum
599: 1unique | 1count | 599sum
600: 3unique | 6count | 19sum
601: 1unique | 1count | 601sum
605: 2unique | 3count | 27sum
606: 3unique | 3count | 106sum
607: 1unique | 1count | 607sum
611: 2unique | 2count | 60sum
612: 3unique | 5count | 27sum
613: 1unique | 1count | 613sum
617: 1unique | 1count | 617sum
618: 3unique | 3count | 108sum
619: 1unique | 1count | 619sum
623: 2unique | 2count | 96sum
624: 3unique | 6count | 24sum
625: 1unique | 4count | 20sum
629: 2unique | 2count | 54sum
630: 4unique | 5count | 20sum
631: 1unique | 1count | 631sum
635: 2unique | 2count | 132sum
636: 3unique | 4count | 60sum
637: 2unique | 3count | 27sum
641: 1unique | 1count | 641sum
642: 3unique | 3count | 112sum
643: 1unique | 1count | 643sum
647: 1unique | 1count | 647sum
648: 2unique | 7count | 18sum
649: 2unique | 2count | 70sum
653: 1unique | 1count | 653sum
654: 3unique | 3count | 114sum
655: 2unique | 2count | 136sum
659: 1unique | 1count | 659sum
660: 4unique | 5count | 23sum
661: 1unique | 1count | 661sum
665: 3unique | 3count | 31sum
666: 3unique | 4count | 45sum
667: 2unique | 2count | 52sum
671: 2unique | 2count | 72sum
672: 3unique | 7count | 20sum
673: 1unique | 1count | 673sum
677: 1unique | 1count | 677sum
678: 3unique | 3count | 118sum
679: 2unique | 2count | 104sum
683: 1unique | 1count | 683sum
684: 3unique | 5count | 29sum
685: 2unique | 2count | 142sum
