20258: 3uniques | 3count | 1456sum
20259: 2uniques | 3count | 2257sum
20260: 3uniques | 4count | 1022sum
20261: 1uniques | 1count | 0sum
20262: 4uniques | 4count | 323sum
20263: 2uniques | 2count | 904sum
20264: 3uniques | 5count | 172sum
20265: 4uniques | 4count | 208sum
20266: 2uniques | 2count | 10135sum
20267: 2uniques | 2count | 1572sum
20268: 3uniques | 5count | 573sum
20269: 1uniques | 1count | 0sum
20270: 3uniques | 3count | 2034sum
20271: 3uniques | 3count | 265sum
20272: 3uniques | 6count | 196sum
20273: 3uniques | 3count | 127sum
20274: 4uniques | 4count | 145sum
20275: 2uniques | 3count | 821sum
20276: 3uniques | 4count | 178sum
20277: 2uniques | 4count | 760sum
20278: 2uniques | 2count | 10141sum
20279: 2uniques | 2count | 2904sum
20280: 4uniques | 7count | 40sum
20281: 2uniques | 2count | 1210sum
20282: 2uniques | 2count | 10143sum
20283: 2uniques | 2count | 6764sum
20284: 3uniques | 4count | 476sum
20285: 2uniques | 2count | 4062sum
20286: 4uniques | 6count | 45sum
20287: 1uniques | 1count | 0sum
20288: 2uniques | 7count | 329sum
20289: 2uniques | 2count | 6766sum
20290: 3uniques | 3count | 2036sum
20291: 2uniques | 2count | 300sum
20292: 4uniques | 5count | 115sum
20293: 3uniques | 3count | 243sum
20294: 3uniques | 3count | 214sum
20295: 4uniques | 5count | 63sum
20296: 3uniques | 5count | 108sum
20297: 1uniques | 1count | 0sum
20298: 4uniques | 4count | 221sum
20299: 2uniques | 2count | 436sum
20300: 4uniques | 6count | 50sum
20301: 3uniques | 3count | 171sum
20302: 2uniques | 2count | 10153sum
20303: 2uniques | 2count | 336sum
20304: 3uniques | 8count | 64sum
20305: 3uniques | 3count | 167sum
20306: 4uniques | 4count | 97sum
20307: 3uniques | 3count | 977sum
20308: 2uniques | 3count | 5081sum
20309: 2uniques | 2count | 906sum
20310: 4uniques | 4count | 687sum
20311: 2uniques | 2count | 1088sum
20312: 2uniques | 4count | 2545sum
20313: 3uniques | 4count | 104sum
20314: 3uniques | 3count | 1460sum
20315: 3uniques | 3count | 261sum
20316: 3uniques | 4count | 1700sum
20317: 2uniques | 2count | 1858sum
20318: 2uniques | 2count | 10161sum
20319: 3uniques | 3count | 537sum
20320: 3uniques | 7count | 142sum
20321: 2uniques | 2count | 2910sum
20322: 3uniques | 4count | 1137sum
20323: 1uniques | 1count | 0sum
20324: 2uniques | 3count | 5085sum
20325: 3uniques | 4count | 284sum
20326: 2uniques | 2count | 10165sum
20327: 1uniques | 1count | 0sum
20328: 4uniques | 7count | 38sum
20329: 2uniques | 2count | 730sum
20330: 4uniques | 4count | 133sum
20331: 2uniques | 5count | 263sum
20332: 4uniques | 5count | 57sum
20333: 1uniques | 1count | 0sum
20334: 3uniques | 3count | 3394sum
20335: 3uniques | 4count | 102sum
20336: 3uniques | 6count | 80sum
20337: 2uniques | 2count | 6782sum
20338: 2uniques | 2count | 10171sum
20339: 2uniques | 3count | 97sum
20340: 4uniques | 6count | 128sum
20341: 1uniques | 1count | 0sum
20342: 3uniques | 3count | 1462sum
20343: 2uniques | 2count | 6784sum
20344: 2uniques | 4count | 2549sum
20345: 3uniques | 3count | 331sum
20346: 3uniques | 3count | 3396sum
20347: 1uniques | 1count | 0sum
20348: 2uniques | 3count | 5091sum
20349: 4uniques | 5count | 49sum
20350: 4uniques | 5count | 60sum
20351: 2uniques | 2count | 480sum
20352: 3uniques | 9count | 70sum
20353: 1uniques | 1count | 0sum
20354: 2uniques | 2count | 10179sum
20355: 4uniques | 4count | 90sum
20356: 3uniques | 4count | 738sum
20357: 1uniques | 1count | 0sum
20358: 4uniques | 6count | 53sum
20359: 1uniques | 1count | 0sum
20360: 3uniques | 5count | 520sum
20361: 3uniques | 3count | 631sum
20362: 2uniques | 2count | 10183sum
20363: 2uniques | 2count | 2916sum
20364: 3uniques | 4count | 1704sum
20365: 2uniques | 2count | 4078sum
20366: 3uniques | 3count | 618sum
20367: 3uniques | 4count | 110sum
20368: 3uniques | 6count | 94sum
20369: 1uniques | 1count | 0sum
20370: 5uniques | 5count | 114sum
20371: 2uniques | 2count | 1580sum
20372: 3uniques | 4count | 478sum
20373: 2uniques | 2count | 6794sum
20374: 3uniques | 3count | 230sum
20375: 2uniques | 4count | 178sum
20376: 3uniques | 6count | 295sum
20377: 3uniques | 3count | 119sum
20378: 3uniques | 3count | 468sum
20379: 2uniques | 2count | 6796sum
20380: 3uniques | 4count | 1028sum
20381: 2uniques | 2count | 318sum
20382: 4uniques | 4count | 127sum
20383: 3uniques | 3count | 137sum
20384: 3uniques | 8count | 37sum
20385: 3uniques | 5count | 165sum
20386: 2uniques | 2count | 10195sum
20387: 3uniques | 3count | 85sum
20388: 3uniques | 4count | 1706sum
20389: 1uniques | 1count | 0sum
20390: 3uniques | 3count | 2046sum
20391: 3uniques | 3count | 981sum
20392: 2uniques | 4count | 2555sum
20393: 1uniques | 1count | 0sum
20394: 4uniques | 5count | 122sum
20395: 2uniques | 2count | 4084sum
20396: 2uniques | 3count | 5103sum
20397: 3uniques | 3count | 539sum
20398: 4uniques | 4count | 87sum
20399: 1uniques | 1count | 0sum
20400: 4uniques | 8count | 38sum
20401: 2uniques | 2count | 910sum
20402: 2uniques | 3count | 204sum
20403: 2uniques | 3count | 2273sum
20404: 2uniques | 3count | 5105sum
20405: 4uniques | 4count | 76sum
20406: 4uniques | 4count | 203sum
20407: 1uniques | 1count | 0sum
20408: 2uniques | 4count | 2557sum
20409: 2uniques | 2count | 6806sum
20410: 4uniques | 4count | 177sum
20411: 1uniques | 1count | 0sum
20412: 3uniques | 9count | 29sum
20413: 2uniques | 2count | 286sum
20414: 3uniques | 3count | 234sum
20415: 3uniques | 3count | 1369sum
20416: 3uniques | 8count | 52sum
20417: 2uniques | 2count | 1218sum
20418: 4uniques | 4count | 129sum
20419: 2uniques | 2count | 2924sum
20420: 3uniques | 4count | 1030sum
20421: 2uniques | 3count | 2275sum
20422: 2uniques | 2count | 10213sum
20423: 2uniques | 2count | 1584sum
20424: 4uniques | 6count | 69sum
20425: 3uniques | 4count | 72sum
20426: 3uniques | 3count | 1468sum
20427: 3uniques | 3count | 633sum
