135522: 3unique | 4count | 7537sum
135523: 2unique | 2count | 2356sum
135527: 3unique | 3count | 1045sum
135528: 3unique | 5count | 5656sum
135529: 2unique | 2count | 746sum
135533: 1unique | 1count | 135533sum
135534: 4unique | 5count | 480sum
135535: 2unique | 2count | 27112sum
135539: 3unique | 3count | 177sum
135540: 4unique | 7count | 269sum
135541: 3unique | 4count | 108sum
135545: 2unique | 2count | 27114sum
135546: 5unique | 5count | 94sum
135547: 2unique | 2count | 1612sum
135551: 2unique | 2count | 10440sum
135552: 3unique | 9count | 370sum
135553: 2unique | 2count | 12334sum
135557: 2unique | 2count | 762sum
135558: 4unique | 5count | 468sum
135559: 1unique | 1count | 135559sum
135563: 2unique | 2count | 4404sum
135564: 5unique | 6count | 110sum
135565: 3unique | 3count | 1451sum
135569: 3unique | 3count | 295sum
135570: 4unique | 4count | 4529sum
135571: 1unique | 1count | 135571sum
135575: 4unique | 5count | 67sum
135576: 4unique | 7count | 288sum
135577: 2unique | 2count | 10442sum
135581: 1unique | 1count | 135581sum
135582: 4unique | 4count | 447sum
135583: 2unique | 3count | 2781sum
135587: 2unique | 2count | 3348sum
135588: 3unique | 4count | 11306sum
135589: 1unique | 1count | 135589sum
135593: 1unique | 1count | 135593sum
135594: 3unique | 9count | 54sum
135595: 3unique | 3count | 629sum
135599: 1unique | 1count | 135599sum
135600: 4unique | 8count | 134sum
135601: 1unique | 1count | 135601sum
135605: 3unique | 3count | 775sum
135606: 4unique | 4count | 335sum
135607: 1unique | 1count | 135607sum
135611: 2unique | 2count | 19380sum
135612: 3unique | 5count | 3777sum
135613: 1unique | 1count | 135613sum
135617: 1unique | 1count | 135617sum
135618: 4unique | 4count | 3241sum
135619: 2unique | 2count | 12340sum
135623: 1unique | 1count | 135623sum
135624: 3unique | 5count | 5660sum
135625: 3unique | 6count | 58sum
135629: 2unique | 2count | 10446sum
135630: 5unique | 6count | 161sum
135631: 2unique | 2count | 5920sum
135635: 2unique | 2count | 27132sum
135636: 4unique | 5count | 223sum
135637: 1unique | 1count | 135637sum
135641: 3unique | 4count | 100sum
135642: 5unique | 5count | 102sum
135643: 3unique | 3count | 197sum
135647: 1unique | 1count | 135647sum
135648: 3unique | 9count | 176sum
135649: 1unique | 1count | 135649sum
135653: 2unique | 2count | 19386sum
135654: 4unique | 4count | 1011sum
135655: 3unique | 3count | 2105sum
135659: 2unique | 2count | 756sum
135660: 6unique | 7count | 55sum
135661: 1unique | 1count | 135661sum
135665: 3unique | 3count | 679sum
135666: 3unique | 4count | 7545sum
135667: 2unique | 2count | 19388sum
135671: 1unique | 1count | 135671sum
135672: 3unique | 5count | 5662sum
135673: 2unique | 2count | 854sum
135677: 3unique | 3count | 387sum
135678: 3unique | 3count | 22618sum
135679: 3unique | 3count | 249sum
135683: 2unique | 2count | 804sum
135684: 3unique | 5count | 3779sum
135685: 3unique | 3count | 2483sum
135689: 2unique | 2count | 2934sum
135690: 4unique | 4count | 4533sum
135691: 2unique | 2count | 4708sum
135695: 3unique | 3count | 3889sum
135696: 4unique | 7count | 279sum
135697: 1unique | 1count | 135697sum
135701: 1unique | 1count | 135701sum
135702: 4unique | 6count | 377sum
