75673: 2unique | 2count | 5834sum
75677: 3unique | 3count | 595sum
75678: 3unique | 3count | 12618sum
75679: 1unique | 1count | 75679sum
75683: 1unique | 1count | 75683sum
75684: 5unique | 6count | 84sum
75685: 2unique | 2count | 15142sum
75689: 1unique | 1count | 75689sum
75690: 4unique | 6count | 71sum
75691: 3unique | 3count | 1001sum
75695: 2unique | 2count | 15144sum
75696: 4unique | 7count | 113sum
75697: 2unique | 2count | 1342sum
75701: 3unique | 3count | 151sum
75702: 5unique | 5count | 84sum
75703: 1unique | 1count | 75703sum
75707: 1unique | 1count | 75707sum
75708: 3unique | 6count | 714sum
75709: 1unique | 1count | 75709sum
75713: 2unique | 2count | 6894sum
75714: 3unique | 3count | 12624sum
75715: 3unique | 3count | 821sum
75719: 3unique | 3count | 409sum
75720: 4unique | 6count | 645sum
75721: 1unique | 1count | 75721sum
75725: 3unique | 4count | 256sum
75726: 4unique | 5count | 616sum
75727: 2unique | 2count | 1888sum
75731: 1unique | 1count | 75731sum
75732: 3unique | 4count | 6318sum
75733: 3unique | 3count | 387sum
75737: 2unique | 2count | 1482sum
75738: 4unique | 4count | 989sum
75739: 3unique | 3count | 149sum
75743: 1unique | 1count | 75743sum
75744: 3unique | 8count | 279sum
75745: 2unique | 2count | 15154sum
75749: 2unique | 2count | 570sum
75750: 4unique | 6count | 121sum
75751: 2unique | 2count | 5840sum
75755: 3unique | 3count | 253sum
75756: 4unique | 5count | 173sum
75757: 3unique | 3count | 179sum
75761: 3unique | 3count | 223sum
75762: 4unique | 6count | 95sum
75763: 2unique | 2count | 556sum
75767: 1unique | 1count | 75767sum
75768: 5unique | 7count | 68sum
75769: 2unique | 2count | 4474sum
75773: 1unique | 1count | 75773sum
75774: 4unique | 4count | 251sum
75775: 3unique | 4count | 450sum
75779: 2unique | 3count | 177sum
75780: 4unique | 6count | 436sum
75781: 1unique | 1count | 75781sum
75785: 3unique | 3count | 687sum
75786: 4unique | 4count | 765sum
75787: 1unique | 1count | 75787sum
75791: 2unique | 2count | 4008sum
75792: 3unique | 6count | 1590sum
75793: 1unique | 1count | 75793sum
75797: 1unique | 1count | 75797sum
75798: 3unique | 4count | 4219sum
75799: 2unique | 2count | 560sum
75803: 3unique | 5count | 51sum
75804: 3unique | 4count | 6324sum
75805: 2unique | 2count | 15166sum
75809: 2unique | 3count | 127sum
75810: 5unique | 6count | 55sum
75811: 2unique | 2count | 1660sum
75815: 3unique | 3count | 321sum
75816: 3unique | 10count | 37sum
75817: 2unique | 2count | 10838sum
75821: 1unique | 1count | 75821sum
75822: 3unique | 3count | 12642sum
75823: 3unique | 3count | 185sum
75827: 2unique | 2count | 588sum
75828: 4unique | 5count | 167sum
75829: 3unique | 3count | 339sum
75833: 1unique | 1count | 75833sum
75834: 4unique | 5count | 402sum
75835: 3unique | 3count | 557sum
75839: 2unique | 2count | 600sum
75840: 4unique | 9count | 99sum
