406: 3count | 3sum
407: 2count | 2sum
408: 3count | 5sum
409: 1count | 1sum
410: 3count | 3sum
411: 2count | 2sum
412: 2count | 3sum
413: 2count | 2sum
414: 3count | 4sum
415: 2count | 2sum
416: 2count | 6sum
417: 2count | 2sum
418: 3count | 3sum
419: 1count | 1sum
420: 4count | 5sum
421: 1count | 1sum
422: 2count | 2sum
423: 2count | 3sum
424: 2count | 4sum
425: 2count | 3sum
426: 3count | 3sum
427: 2count | 2sum
428: 2count | 3sum
429: 3count | 3sum
430: 3count | 3sum
431: 1count | 1sum
432: 2count | 7sum
433: 1count | 1sum
434: 3count | 3sum
435: 3count | 3sum
436: 2count | 3sum
437: 2count | 2sum
438: 3count | 3sum
439: 1count | 1sum
440: 3count | 5sum
441: 2count | 4sum
442: 3count | 3sum
443: 1count | 1sum
444: 3count | 4sum
445: 2count | 2sum
446: 2count | 2sum
447: 2count | 2sum
448: 2count | 7sum
449: 1count | 1sum
450: 3count | 5sum
451: 2count | 2sum
452: 2count | 3sum
453: 2count | 2sum
454: 2count | 2sum
455: 3count | 3sum
456: 3count | 5sum
457: 1count | 1sum
458: 2count | 2sum
459: 2count | 4sum
460: 3count | 4sum
461: 1count | 1sum
462: 4count | 4sum
463: 1count | 1sum
464: 2count | 5sum
465: 3count | 3sum
466: 2count | 2sum
467: 1count | 1sum
468: 3count | 5sum
469: 2count | 2sum
470: 3count | 3sum
471: 2count | 2sum
472: 2count | 4sum
473: 2count | 2sum
474: 3count | 3sum
475: 2count | 3sum
476: 3count | 4sum
477: 2count | 3sum
478: 2count | 2sum
479: 1count | 1sum
480: 3count | 7sum
481: 2count | 2sum
482: 2count | 2sum
483: 3count | 3sum
484: 2count | 4sum
485: 2count | 2sum
486: 2count | 6sum
487: 1count | 1sum
488: 2count | 4sum
489: 2count | 2sum
490: 3count | 4sum
491: 1count | 1sum
492: 3count | 4sum
493: 2count | 2sum
494: 3count | 3sum
495: 3count | 4sum
496: 2count | 5sum
497: 2count | 2sum
498: 3count | 3sum
499: 1count | 1sum
500: 2count | 5sum
501: 2count | 2sum
502: 2count | 2sum
503: 1count | 1sum
504: 3count | 6sum
505: 2count | 2sum
506: 3count | 3sum
507: 2count | 3sum
508: 2count | 3sum
509: 1count | 1sum
510: 4count | 4sum
511: 2count | 2sum
512: 1count | 9sum
513: 2count | 4sum
514: 2count | 2sum
515: 2count | 2sum
516: 3count | 4sum
517: 2count | 2sum
518: 3count | 3sum
519: 2count | 2sum
520: 3count | 5sum
521: 1count | 1sum
522: 3count | 4sum
523: 1count | 1sum
524: 2count | 3sum
525: 3count | 4sum
526: 2count | 2sum
527: 2count | 2sum
528: 3count | 6sum
529: 1count | 2sum
530: 3count | 3sum
531: 2count | 3sum
532: 3count | 4sum
533: 2count | 2sum
534: 3count | 3sum
535: 2count | 2sum
536: 2count | 4sum
537: 2count | 2sum
538: 2count | 2sum
539: 2count | 3sum
540: 3count | 6sum
541: 1count | 1sum
542: 2count | 2sum
543: 2count | 2sum
544: 2count | 6sum
545: 2count | 2sum
546: 4count | 4sum
547: 1count | 1sum
548: 2count | 3sum
549: 2count | 3sum
550: 3count | 4sum
551: 2count | 2sum
552: 3count | 5sum
553: 2count | 2sum
554: 2count | 2sum
555: 3count | 3sum
556: 2count | 3sum
557: 1count | 1sum
558: 3count | 4sum
559: 2count | 2sum
560: 3count | 6sum
561: 3count | 3sum
562: 2count | 2sum
563: 1count | 1sum
564: 3count | 4sum
565: 2count | 2sum
566: 2count | 2sum
567: 2count | 5sum
568: 2count | 4sum
569: 1count | 1sum
570: 4count | 4sum
571: 1count | 1sum
572: 3count | 4sum
573: 2count | 2sum
574: 3count | 3sum
575: 2count | 3sum
576: 2count | 8sum
577: 1count | 1sum
578: 2count | 3sum
579: 2count | 2sum
580: 3count | 4sum
581: 2count | 2sum
582: 3count | 3sum
583: 2count | 2sum
584: 2count | 4sum
585: 3count | 4sum
586: 2count | 2sum
587: 1count | 1sum
588: 3count | 5sum
589: 2count | 2sum
590: 3count | 3sum
591: 2count | 2sum
592: 2count | 5sum
593: 1count | 1sum
594: 3count | 5sum
595: 3count | 3sum
596: 2count | 3sum
597: 2count | 2sum
598: 3count | 3sum
599: 1count | 1sum
600: 3count | 6sum
601: 1count | 1sum
602: 3count | 3sum
603: 2count | 3sum
604: 2count | 3sum
605: 2count | 3sum
606: 3count | 3sum
607: 1count | 1sum
608: 2count | 6sum
609: 3count | 3sum
610: 3count | 3sum
611: 2count | 2sum
612: 3count | 5sum
613: 1count | 1sum
614: 2count | 2sum
615: 3count | 3sum
616: 3count | 5sum
617: 1count | 1sum
618: 3count | 3sum
619: 1count | 1sum
620: 3count | 4sum
621: 2count | 4sum
622: 2count | 2sum
623: 2count | 2sum
624: 3count | 6sum
625: 1count | 4sum
626: 2count | 2sum
627: 3count | 3sum
628: 2count | 3sum
629: 2count | 2sum
630: 4count | 5sum
631: 1count | 1sum
632: 2count | 4sum
633: 2count | 2sum
634: 2count | 2sum
635: 2count | 2sum
636: 3count | 4sum
637: 2count | 3sum
638: 3count | 3sum
639: 2count | 3sum
640: 2count | 8sum
641: 1count | 1sum
642: 3count | 3sum
643: 1count | 1sum
644: 3count | 4sum
645: 3count | 3sum
646: 3count | 3sum
647: 1count | 1sum
648: 2count | 7sum
649: 2count | 2sum
650: 3count | 4sum
651: 3count | 3sum
652: 2count | 3sum
653: 1count | 1sum
654: 3count | 3sum
655: 2count | 2sum
656: 2count | 5sum
657: 2count | 3sum
658: 3count | 3sum
659: 1count | 1sum
660: 4count | 5sum
661: 1count | 1sum
662: 2count | 2sum
663: 3count | 3sum
664: 2count | 4sum
665: 3count | 3sum
666: 3count | 4sum
667: 2count | 2sum
668: 2count | 3sum
669: 2count | 2sum
670: 3count | 3sum
671: 2count | 2sum
672: 3count | 7sum
673: 1count | 1sum
674: 2count | 2sum
675: 2count | 5sum
676: 2count | 4sum
677: 1count | 1sum
678: 3count | 3sum
679: 2count | 2sum
680: 3count | 5sum
681: 2count | 2sum
682: 3count | 3sum
683: 1count | 1sum
684: 3count | 5sum
685: 2count | 2sum
686: 2count | 4sum
687: 2count | 2sum
688: 2count | 5sum
689: 2count | 2sum
