18672: 3uniques | 6count | 400sum
18673: 2uniques | 2count | 334sum
18674: 2uniques | 2count | 9339sum
18675: 3uniques | 5count | 99sum
18676: 4uniques | 5count | 63sum
18677: 2uniques | 2count | 1002sum
18678: 4uniques | 4count | 299sum
18679: 1uniques | 1count | 0sum
18680: 3uniques | 5count | 478sum
18681: 3uniques | 3count | 495sum
18682: 2uniques | 2count | 9343sum
18683: 3uniques | 3count | 181sum
18684: 3uniques | 6count | 186sum
18685: 3uniques | 3count | 143sum
18686: 2uniques | 2count | 9345sum
18687: 2uniques | 2count | 6232sum
18688: 2uniques | 9count | 89sum
18689: 2uniques | 2count | 1710sum
18690: 5uniques | 5count | 106sum
18691: 1uniques | 1count | 0sum
18692: 2uniques | 3count | 4677sum
18693: 3uniques | 4count | 104sum
18694: 3uniques | 3count | 734sum
18695: 2uniques | 2count | 3744sum
18696: 4uniques | 6count | 69sum
18697: 2uniques | 2count | 2678sum
18698: 2uniques | 2count | 9351sum
18699: 3uniques | 3count | 297sum
18700: 4uniques | 6count | 42sum
18701: 1uniques | 1count | 0sum
18702: 3uniques | 4count | 1047sum
18703: 2uniques | 2count | 376sum
18704: 3uniques | 6count | 182sum
18705: 4uniques | 4count | 80sum
18706: 3uniques | 3count | 248sum
18707: 2uniques | 2count | 1452sum
18708: 3uniques | 4count | 1566sum
18709: 2uniques | 2count | 406sum
18710: 3uniques | 3count | 1878sum
18711: 3uniques | 7count | 33sum
18712: 2uniques | 4count | 2345sum
18713: 1uniques | 1count | 0sum
18714: 3uniques | 3count | 3124sum
18715: 3uniques | 3count | 221sum
18716: 2uniques | 3count | 4683sum
18717: 3uniques | 3count | 387sum
18718: 3uniques | 4count | 207sum
18719: 1uniques | 1count | 0sum
18720: 4uniques | 9count | 34sum
18721: 2uniques | 2count | 290sum
18722: 4uniques | 4count | 73sum
18723: 2uniques | 3count | 161sum
18724: 3uniques | 4count | 186sum
18725: 3uniques | 4count | 124sum
18726: 3uniques | 3count | 3126sum
18727: 2uniques | 2count | 368sum
18728: 2uniques | 4count | 2347sum
18729: 2uniques | 3count | 2087sum
18730: 3uniques | 3count | 1880sum
18731: 1uniques | 1count | 0sum
18732: 4uniques | 5count | 237sum
18733: 3uniques | 3count | 155sum
18734: 4uniques | 4count | 67sum
18735: 3uniques | 3count | 1257sum
18736: 2uniques | 5count | 1179sum
18737: 2uniques | 2count | 498sum
18738: 3uniques | 5count | 358sum
18739: 2uniques | 2count | 2684sum
18740: 3uniques | 4count | 946sum
18741: 2uniques | 2count | 6250sum
18742: 2uniques | 2count | 9373sum
18743: 1uniques | 1count | 0sum
18744: 4uniques | 6count | 91sum
18745: 3uniques | 3count | 191sum
18746: 4uniques | 4count | 125sum
18747: 2uniques | 3count | 2089sum
18748: 3uniques | 4count | 156sum
18749: 1uniques | 1count | 0sum
18750: 3uniques | 7count | 30sum
18751: 2uniques | 2count | 1120sum
18752: 2uniques | 7count | 305sum
18753: 4uniques | 4count | 76sum
18754: 2uniques | 2count | 9379sum
18755: 3uniques | 4count | 58sum
18756: 3uniques | 5count | 531sum
18757: 1uniques | 1count | 0sum
18758: 3uniques | 3count | 198sum
18759: 3uniques | 4count | 66sum
18760: 4uniques | 6count | 85sum
18761: 2uniques | 2count | 330sum
18762: 4uniques | 4count | 117sum
18763: 2uniques | 2count | 676sum
18764: 2uniques | 3count | 4695sum
18765: 3uniques | 5count | 153sum
