401: 1uniques | 1count | 0sum
402: 3uniques | 3count | 72sum
403: 2uniques | 2count | 44sum
404: 2uniques | 3count | 105sum
405: 2uniques | 5count | 17sum
406: 3uniques | 3count | 38sum
407: 2uniques | 2count | 48sum
408: 3uniques | 5count | 26sum
409: 1uniques | 1count | 0sum
410: 3uniques | 3count | 48sum
411: 2uniques | 2count | 140sum
412: 2uniques | 3count | 107sum
413: 2uniques | 2count | 66sum
414: 3uniques | 4count | 31sum
415: 2uniques | 2count | 88sum
416: 2uniques | 6count | 23sum
417: 2uniques | 2count | 142sum
418: 3uniques | 3count | 32sum
419: 1uniques | 1count | 0sum
420: 4uniques | 5count | 19sum
421: 1uniques | 1count | 0sum
422: 2uniques | 2count | 213sum
423: 2uniques | 3count | 53sum
424: 2uniques | 4count | 59sum
425: 2uniques | 3count | 27sum
426: 3uniques | 3count | 76sum
427: 2uniques | 2count | 68sum
428: 2uniques | 3count | 111sum
429: 3uniques | 3count | 27sum
430: 3uniques | 3count | 50sum
431: 1uniques | 1count | 0sum
432: 2uniques | 7count | 17sum
433: 1uniques | 1count | 0sum
434: 3uniques | 3count | 40sum
435: 3uniques | 3count | 37sum
436: 2uniques | 3count | 113sum
437: 2uniques | 2count | 42sum
438: 3uniques | 3count | 78sum
439: 1uniques | 1count | 0sum
440: 3uniques | 5count | 22sum
441: 2uniques | 4count | 20sum
442: 3uniques | 3count | 32sum
443: 1uniques | 1count | 0sum
444: 3uniques | 4count | 44sum
445: 2uniques | 2count | 94sum
446: 2uniques | 2count | 225sum
447: 2uniques | 2count | 152sum
448: 2uniques | 7count | 19sum
449: 1uniques | 1count | 0sum
450: 3uniques | 5count | 18sum
451: 2uniques | 2count | 52sum
452: 2uniques | 3count | 117sum
453: 2uniques | 2count | 154sum
454: 2uniques | 2count | 229sum
455: 3uniques | 3count | 25sum
456: 3uniques | 5count | 28sum
457: 1uniques | 1count | 0sum
458: 2uniques | 2count | 231sum
459: 2uniques | 4count | 26sum
460: 3uniques | 4count | 32sum
461: 1uniques | 1count | 0sum
462: 4uniques | 4count | 23sum
463: 1uniques | 1count | 0sum
464: 2uniques | 5count | 37sum
465: 3uniques | 3count | 39sum
466: 2uniques | 2count | 235sum
467: 1uniques | 1count | 0sum
468: 3uniques | 5count | 23sum
469: 2uniques | 2count | 74sum
470: 3uniques | 3count | 54sum
471: 2uniques | 2count | 160sum
472: 2uniques | 4count | 65sum
473: 2uniques | 2count | 54sum
474: 3uniques | 3count | 84sum
475: 2uniques | 3count | 29sum
476: 3uniques | 4count | 28sum
477: 2uniques | 3count | 59sum
478: 2uniques | 2count | 241sum
479: 1uniques | 1count | 0sum
480: 3uniques | 7count | 18sum
481: 2uniques | 2count | 50sum
482: 2uniques | 2count | 243sum
483: 3uniques | 3count | 33sum
484: 2uniques | 4count | 26sum
485: 2uniques | 2count | 102sum
486: 2uniques | 6count | 17sum
487: 1uniques | 1count | 0sum
488: 2uniques | 4count | 67sum
489: 2uniques | 2count | 166sum
490: 3uniques | 4count | 21sum
491: 1uniques | 1count | 0sum
492: 3uniques | 4count | 48sum
493: 2uniques | 2count | 46sum
494: 3uniques | 3count | 34sum
495: 3uniques | 4count | 22sum
496: 2uniques | 5count | 39sum
497: 2uniques | 2count | 78sum
498: 3uniques | 3count | 88sum
499: 1uniques | 1count | 0sum
500: 2uniques | 5count | 19sum
501: 2uniques | 2count | 170sum
502: 2uniques | 2count | 253sum
503: 1uniques | 1count | 0sum
504: 3uniques | 6count | 19sum
505: 2uniques | 2count | 106sum
506: 3uniques | 3count | 36sum
507: 2uniques | 3count | 29sum
508: 2uniques | 3count | 131sum
509: 1uniques | 1count | 0sum
510: 4uniques | 4count | 27sum
511: 2uniques | 2count | 80sum
512: 1uniques | 9count | 18sum
513: 2uniques | 4count | 28sum
514: 2uniques | 2count | 259sum
515: 2uniques | 2count | 108sum
516: 3uniques | 4count | 50sum
517: 2uniques | 2count | 58sum
518: 3uniques | 3count | 46sum
519: 2uniques | 2count | 176sum
520: 3uniques | 5count | 24sum
521: 1uniques | 1count | 0sum
522: 3uniques | 4count | 37sum
523: 1uniques | 1count | 0sum
524: 2uniques | 3count | 135sum
525: 3uniques | 4count | 20sum
526: 2uniques | 2count | 265sum
527: 2uniques | 2count | 48sum
528: 3uniques | 6count | 22sum
529: 1uniques | 2count | 46sum
530: 3uniques | 3count | 60sum
531: 2uniques | 3count | 65sum
532: 3uniques | 4count | 30sum
533: 2uniques | 2count | 54sum
534: 3uniques | 3count | 94sum
535: 2uniques | 2count | 112sum
536: 2uniques | 4count | 73sum
537: 2uniques | 2count | 182sum
538: 2uniques | 2count | 271sum
539: 2uniques | 3count | 25sum
540: 3uniques | 6count | 18sum
541: 1uniques | 1count | 0sum
542: 2uniques | 2count | 273sum
543: 2uniques | 2count | 184sum
544: 2uniques | 6count | 27sum
545: 2uniques | 2count | 114sum
546: 4uniques | 4count | 25sum
547: 1uniques | 1count | 0sum
548: 2uniques | 3count | 141sum
549: 2uniques | 3count | 67sum
550: 3uniques | 4count | 23sum
551: 2uniques | 2count | 48sum
552: 3uniques | 5count | 32sum
553: 2uniques | 2count | 86sum
554: 2uniques | 2count | 279sum
555: 3uniques | 3count | 45sum
556: 2uniques | 3count | 143sum
557: 1uniques | 1count | 0sum
558: 3uniques | 4count | 39sum
559: 2uniques | 2count | 56sum
560: 3uniques | 6count | 20sum
561: 3uniques | 3count | 31sum
562: 2uniques | 2count | 283sum
563: 1uniques | 1count | 0sum
564: 3uniques | 4count | 54sum
565: 2uniques | 2count | 118sum
566: 2uniques | 2count | 285sum
567: 2uniques | 5count | 19sum
568: 2uniques | 4count | 77sum
569: 1uniques | 1count | 0sum
570: 4uniques | 4count | 29sum
571: 1uniques | 1count | 0sum
572: 3uniques | 4count | 28sum
573: 2uniques | 2count | 194sum
574: 3uniques | 3count | 50sum
575: 2uniques | 3count | 33sum
576: 2uniques | 8count | 18sum
577: 1uniques | 1count | 0sum
578: 2uniques | 3count | 36sum
579: 2uniques | 2count | 196sum
580: 3uniques | 4count | 38sum
581: 2uniques | 2count | 90sum
582: 3uniques | 3count | 102sum
583: 2uniques | 2count | 64sum
584: 2uniques | 4count | 79sum
585: 3uniques | 4count | 24sum
586: 2uniques | 2count | 295sum
587: 1uniques | 1count | 0sum
588: 3uniques | 5count | 21sum
589: 2uniques | 2count | 50sum
590: 3uniques | 3count | 66sum
591: 2uniques | 2count | 200sum
592: 2uniques | 5count | 45sum
593: 1uniques | 1count | 0sum
594: 3uniques | 5count | 22sum
595: 3uniques | 3count | 29sum
596: 2uniques | 3count | 153sum
597: 2uniques | 2count | 202sum
598: 3uniques | 3count | 38sum
599: 1uniques | 1count | 0sum
600: 3uniques | 6count | 19sum
601: 1uniques | 1count | 0sum
602: 3uniques | 3count | 52sum
603: 2uniques | 3count | 73sum
604: 2uniques | 3count | 155sum
605: 2uniques | 3count | 27sum
606: 3uniques | 3count | 106sum
607: 1uniques | 1count | 0sum
608: 2uniques | 6count | 29sum
609: 3uniques | 3count | 39sum
610: 3uniques | 3count | 68sum
611: 2uniques | 2count | 60sum
612: 3uniques | 5count | 27sum
613: 1uniques | 1count | 0sum
614: 2uniques | 2count | 309sum
615: 3uniques | 3count | 49sum
616: 3uniques | 5count | 24sum
617: 1uniques | 1count | 0sum
618: 3uniques | 3count | 108sum
619: 1uniques | 1count | 0sum
620: 3uniques | 4count | 40sum
621: 2uniques | 4count | 32sum
622: 2uniques | 2count | 313sum
623: 2uniques | 2count | 96sum
624: 3uniques | 6count | 24sum
625: 1uniques | 4count | 20sum
626: 2uniques | 2count | 315sum
627: 3uniques | 3count | 33sum
628: 2uniques | 3count | 161sum
629: 2uniques | 2count | 54sum
630: 4uniques | 5count | 20sum
631: 1uniques | 1count | 0sum
632: 2uniques | 4count | 85sum
633: 2uniques | 2count | 214sum
634: 2uniques | 2count | 319sum
635: 2uniques | 2count | 132sum
636: 3uniques | 4count | 60sum
637: 2uniques | 3count | 27sum
638: 3uniques | 3count | 42sum
639: 2uniques | 3count | 77sum
640: 2uniques | 8count | 19sum
641: 1uniques | 1count | 0sum
642: 3uniques | 3count | 112sum
643: 1uniques | 1count | 0sum
644: 3uniques | 4count | 34sum
645: 3uniques | 3count | 51sum
646: 3uniques | 3count | 38sum
647: 1uniques | 1count | 0sum
648: 2uniques | 7count | 18sum
649: 2uniques | 2count | 70sum
650: 3uniques | 4count | 25sum
651: 3uniques | 3count | 41sum
652: 2uniques | 3count | 167sum
653: 1uniques | 1count | 0sum
654: 3uniques | 3count | 114sum
655: 2uniques | 2count | 136sum
656: 2uniques | 5count | 49sum
657: 2uniques | 3count | 79sum
658: 3uniques | 3count | 56sum
659: 1uniques | 1count | 0sum
660: 4uniques | 5count | 23sum
661: 1uniques | 1count | 0sum
662: 2uniques | 2count | 333sum
663: 3uniques | 3count | 33sum
664: 2uniques | 4count | 89sum
665: 3uniques | 3count | 31sum
666: 3uniques | 4count | 45sum
667: 2uniques | 2count | 52sum
668: 2uniques | 3count | 171sum
669: 2uniques | 2count | 226sum
670: 3uniques | 3count | 74sum
671: 2uniques | 2count | 72sum
672: 3uniques | 7count | 20sum
673: 1uniques | 1count | 0sum
674: 2uniques | 2count | 339sum
675: 2uniques | 5count | 19sum
676: 2uniques | 4count | 30sum
677: 1uniques | 1count | 0sum
678: 3uniques | 3count | 118sum
679: 2uniques | 2count | 104sum
680: 3uniques | 5count | 28sum
681: 2uniques | 2count | 230sum
682: 3uniques | 3count | 44sum
683: 1uniques | 1count | 0sum
684: 3uniques | 5count | 29sum
685: 2uniques | 2count | 142sum
686: 2uniques | 4count | 23sum
687: 2uniques | 2count | 232sum
688: 2uniques | 5count | 51sum
689: 2uniques | 2count | 66sum
690: 4uniques | 4count | 33sum
691: 1uniques | 1count | 0sum
692: 2uniques | 3count | 177sum
693: 3uniques | 4count | 24sum
694: 2uniques | 2count | 349sum
695: 2uniques | 2count | 144sum
696: 3uniques | 5count | 38sum
697: 2uniques | 2count | 58sum
698: 2uniques | 2count | 351sum
699: 2uniques | 2count | 236sum
700: 3uniques | 5count | 21sum
701: 1uniques | 1count | 0sum
702: 3uniques | 5count | 24sum
703: 2uniques | 2count | 56sum
704: 2uniques | 7count | 23sum
705: 3uniques | 3count | 55sum
706: 2uniques | 2count | 355sum
707: 2uniques | 2count | 108sum
708: 3uniques | 4count | 66sum
709: 1uniques | 1count | 0sum
710: 3uniques | 3count | 78sum
711: 2uniques | 3count | 85sum
712: 2uniques | 4count | 95sum
713: 2uniques | 2count | 54sum
714: 4uniques | 4count | 29sum
715: 3uniques | 3count | 29sum
716: 2uniques | 3count | 183sum
717: 2uniques | 2count | 242sum
718: 2uniques | 2count | 361sum
719: 1uniques | 1count | 0sum
720: 3uniques | 7count | 19sum
721: 2uniques | 2count | 110sum
722: 2uniques | 3count | 40sum
723: 2uniques | 2count | 244sum
724: 2uniques | 3count | 185sum
725: 2uniques | 3count | 39sum
726: 3uniques | 4count | 27sum
727: 1uniques | 1count | 0sum
728: 3uniques | 5count | 26sum
729: 1uniques | 6count | 18sum
730: 3uniques | 3count | 80sum
731: 2uniques | 2count | 60sum
