14297: 2uniques | 3count | 75sum
14298: 3uniques | 3count | 2388sum
14299: 2uniques | 2count | 260sum
14300: 4uniques | 6count | 38sum
14301: 3uniques | 4count | 240sum
14302: 2uniques | 2count | 7153sum
14303: 1uniques | 1count | 0sum
14304: 3uniques | 7count | 162sum
14305: 2uniques | 2count | 2866sum
14306: 3uniques | 3count | 336sum
14307: 3uniques | 3count | 273sum
14308: 3uniques | 5count | 91sum
14309: 2uniques | 2count | 390sum
14310: 4uniques | 6count | 69sum
14311: 2uniques | 2count | 1312sum
14312: 2uniques | 4count | 1795sum
14313: 3uniques | 3count | 383sum
14314: 3uniques | 3count | 440sum
14315: 3uniques | 3count | 421sum
14316: 3uniques | 4count | 1200sum
14317: 2uniques | 2count | 242sum
14318: 2uniques | 2count | 7161sum
14319: 3uniques | 4count | 86sum
14320: 3uniques | 6count | 192sum
14321: 1uniques | 1count | 0sum
14322: 5uniques | 5count | 54sum
14323: 1uniques | 1count | 0sum
14324: 2uniques | 3count | 3585sum
14325: 3uniques | 4count | 204sum
14326: 4uniques | 4count | 63sum
14327: 1uniques | 1count | 0sum
14328: 3uniques | 6count | 211sum
14329: 3uniques | 3count | 119sum
14330: 3uniques | 3count | 1440sum
14331: 3uniques | 3count | 301sum
14332: 2uniques | 3count | 3587sum
14333: 2uniques | 2count | 1314sum
14334: 3uniques | 3count | 2394sum
14335: 3uniques | 3count | 113sum
14336: 2uniques | 12count | 29sum
14337: 2uniques | 6count | 74sum
14338: 3uniques | 3count | 176sum
14339: 2uniques | 2count | 1116sum
14340: 4uniques | 5count | 251sum
14341: 1uniques | 1count | 0sum
14342: 3uniques | 3count | 174sum
14343: 3uniques | 3count | 693sum
14344: 3uniques | 5count | 180sum
14345: 3uniques | 3count | 175sum
14346: 3uniques | 4count | 805sum
14347: 1uniques | 1count | 0sum
14348: 3uniques | 4count | 232sum
14349: 2uniques | 2count | 4786sum
14350: 4uniques | 5count | 60sum
14351: 2uniques | 2count | 240sum
14352: 4uniques | 7count | 47sum
14353: 2uniques | 2count | 494sum
14354: 2uniques | 2count | 7179sum
14355: 4uniques | 5count | 51sum
14356: 3uniques | 4count | 138sum
14357: 2uniques | 3count | 307sum
14358: 3uniques | 3count | 2398sum
14359: 2uniques | 2count | 256sum
14360: 3uniques | 5count | 370sum
14361: 2uniques | 2count | 4790sum
14362: 3uniques | 3count | 212sum
14363: 2uniques | 2count | 324sum
14364: 4uniques | 7count | 39sum
14365: 3uniques | 4count | 48sum
14366: 3uniques | 3count | 666sum
14367: 2uniques | 2count | 4792sum
14368: 2uniques | 6count | 459sum
14369: 1uniques | 1count | 0sum
14370: 4uniques | 4count | 489sum
14371: 2uniques | 2count | 2060sum
14372: 2uniques | 3count | 3597sum
14373: 2uniques | 3count | 1603sum
14374: 2uniques | 2count | 7189sum
14375: 2uniques | 5count | 43sum
14376: 3uniques | 5count | 608sum
14377: 2uniques | 2count | 1318sum
14378: 4uniques | 4count | 101sum
14379: 2uniques | 2count | 4796sum
14380: 3uniques | 4count | 728sum
14381: 2uniques | 2count | 270sum
14382: 4uniques | 5count | 72sum
14383: 2uniques | 2count | 776sum
14384: 3uniques | 6count | 68sum
14385: 4uniques | 4count | 152sum
14386: 2uniques | 2count | 7195sum
14387: 1uniques | 1count | 0sum
14388: 4uniques | 5count | 127sum
14389: 1uniques | 1count | 0sum
14390: 3uniques | 3count | 1446sum
14391: 3uniques | 5count | 63sum
14392: 3uniques | 5count | 270sum
14393: 2uniques | 2count | 426sum
14394: 3uniques | 3count | 2404sum
14395: 2uniques | 2count | 2884sum
14396: 3uniques | 4count | 124sum
14397: 2uniques | 2count | 4802sum
14398: 3uniques | 3count | 338sum
14399: 3uniques | 4count | 46sum
14400: 3uniques | 10count | 28sum
14401: 1uniques | 1count | 0sum
14402: 3uniques | 3count | 400sum
14403: 2uniques | 2count | 4804sum
14404: 3uniques | 4count | 294sum
14405: 3uniques | 3count | 115sum
14406: 3uniques | 6count | 33sum
14407: 1uniques | 1count | 0sum
14408: 2uniques | 4count | 1807sum
14409: 2uniques | 3count | 1607sum
14410: 4uniques | 4count | 149sum
14411: 1uniques | 1count | 0sum
14412: 3uniques | 4count | 1208sum
14413: 3uniques | 3count | 107sum
14414: 2uniques | 2count | 7209sum
14415: 3uniques | 4count | 70sum
14416: 3uniques | 6count | 78sum
14417: 2uniques | 2count | 1122sum
14418: 3uniques | 6count | 103sum
14419: 1uniques | 1count | 0sum
14420: 4uniques | 5count | 119sum
14421: 4uniques | 4count | 56sum
14422: 2uniques | 2count | 7213sum
14423: 1uniques | 1count | 0sum
14424: 3uniques | 5count | 610sum
14425: 2uniques | 3count | 587sum
14426: 2uniques | 2count | 7215sum
14427: 3uniques | 4count | 242sum
14428: 2uniques | 3count | 3611sum
14429: 2uniques | 2count | 354sum
14430: 5uniques | 5count | 60sum
14431: 1uniques | 1count | 0sum
14432: 3uniques | 7count | 62sum
14433: 3uniques | 3count | 303sum
14434: 3uniques | 3count | 1040sum
14435: 2uniques | 2count | 2892sum
14436: 3uniques | 5count | 411sum
14437: 1uniques | 1count | 0sum
14438: 2uniques | 2count | 7221sum
14439: 2uniques | 2count | 4816sum
14440: 3uniques | 6count | 49sum
14441: 2uniques | 2count | 2070sum
14442: 4uniques | 4count | 117sum
14443: 3uniques | 3count | 125sum
14444: 3uniques | 4count | 184sum
14445: 3uniques | 5count | 121sum
14446: 3uniques | 3count | 266sum
14447: 1uniques | 1count | 0sum
14448: 4uniques | 7count | 61sum
14449: 1uniques | 1count | 0sum
14450: 3uniques | 5count | 46sum
14451: 2uniques | 2count | 4820sum
14452: 2uniques | 3count | 3617sum
14453: 2uniques | 2count | 246sum
14454: 4uniques | 5count | 92sum
14455: 3uniques | 4count | 78sum
14456: 3uniques | 5count | 158sum
14457: 3uniques | 3count | 143sum
14458: 2uniques | 2count | 7231sum
14459: 2uniques | 2count | 780sum
14460: 4uniques | 5count | 253sum
14461: 1uniques | 1count | 0sum
14462: 3uniques | 3count | 1042sum
14463: 2uniques | 3count | 1613sum
14464: 2uniques | 8count | 127sum
14465: 3uniques | 3count | 279sum
14466: 3uniques | 3count | 2416sum
14467: 3uniques | 3count | 77sum
14468: 2uniques | 3count | 3621sum
14469: 4uniques | 4count | 76sum
14470: 3uniques | 3count | 1454sum
14471: 2uniques | 2count | 528sum
14472: 3uniques | 7count | 82sum
14473: 2uniques | 2count | 394sum
14474: 2uniques | 2count | 7239sum
14475: 3uniques | 4count | 206sum
14476: 4uniques | 5count | 69sum
14477: 2uniques | 2count | 498sum
14478: 4uniques | 4count | 151sum
14479: 1uniques | 1count | 0sum
14480: 3uniques | 6count | 194sum
14481: 2uniques | 3count | 1615sum
14482: 3uniques | 3count | 572sum
14483: 2uniques | 2count | 2076sum
14484: 4uniques | 5count | 95sum
14485: 2uniques | 2count | 2902sum
14486: 2uniques | 2count | 7245sum
14487: 3uniques | 3count | 453sum
14488: 2uniques | 4count | 1817sum
14489: 1uniques | 1count | 0sum
14490: 5uniques | 6count | 43sum
14491: 2uniques | 2count | 380sum
14492: 2uniques | 3count | 3627sum
14493: 2uniques | 2count | 4834sum
14494: 2uniques | 2count | 7249sum
14495: 3uniques | 3count | 241sum
14496: 3uniques | 7count | 164sum
14497: 3uniques | 3count | 135sum
14498: 3uniques | 3count | 672sum
14499: 2uniques | 5count | 191sum
14500: 3uniques | 6count | 48sum
14501: 2uniques | 2count | 870sum
14502: 3uniques | 3count | 2422sum
14503: 1uniques | 1count | 0sum
14504: 3uniques | 6count | 57sum
14505: 3uniques | 3count | 975sum
14506: 2uniques | 2count | 7255sum
14507: 2uniques | 2count | 252sum
14508: 4uniques | 6count | 54sum
14509: 2uniques | 2count | 1330sum
14510: 3uniques | 3count | 1458sum
14511: 3uniques | 3count | 701sum
14512: 2uniques | 5count | 915sum
14513: 2uniques | 2count | 654sum
14514: 4uniques | 4count | 105sum
14515: 2uniques | 2count | 2908sum
14516: 3uniques | 4count | 214sum
14517: 2uniques | 3count | 1619sum
14518: 4uniques | 4count | 87sum
14519: 1uniques | 1count | 0sum
14520: 4uniques | 7count | 36sum
14521: 2uniques | 2count | 1130sum
14522: 3uniques | 3count | 192sum
14523: 3uniques | 3count | 153sum
14524: 2uniques | 3count | 3635sum
14525: 3uniques | 4count | 100sum
14526: 3uniques | 5count | 280sum
14527: 2uniques | 2count | 272sum
14528: 2uniques | 7count | 239sum
14529: 3uniques | 3count | 199sum
14530: 3uniques | 3count | 1460sum
14531: 2uniques | 2count | 1332sum
